CODE	TIME	STATIONCODE	INNUM	OUTNUM	TRANNUM	GETONPED	GETOFFPED	GETONNUM	GETONTIME	GETONWAITTIME	TRANINNUM	TRANINTIME	TRANINWAITTIME	RESOURCENUM	GETOFFTIME	AVGSTANUM	MAXSTANUM	AVGPLATNUM	MAXPLATNUM	AVGLIMITNUM	MAXLIMITNUM
20150325	7:10:00	宋家庄	640	57	5号线上/10号线下:145;亦庄线下/10号线下:136;5号线上/亦庄线上:634;10号线下/亦庄线上:157;10号线上/亦庄线上:139;5号线上/10号线上:166;亦庄线下/10号线上:154;10号线下/5号线下:39;亦庄线下/5号线下:130;10号线上/5号线下:7	102044:54;052032:406;961013:737;102052:200;101030:442;052033:1035	102044:336;101030:190	10号线上:105;5号线上:427;亦庄线下:36;10号线下:77	10号线上:244;5号线上:249;亦庄线下:384;10号线下:310	10号线上:64;5号线上:71;亦庄线下:204;10号线下:129	10号线上:149;5号线上:1014;亦庄线下:701;10号线下:205	10号线上:381;5号线上:355;亦庄线下:340;10号线下:397	10号线上:68;5号线上:100;亦庄线下:198;10号线下:66	10号线上:1;5号线上:1;亦庄线下:1;10号线下:1		2630	3814	5号线上:640;10号线下:470;10号线上:74;亦庄线下:362;亦庄线上:32	5号线上:1154;10号线下:754;10号线上:201;亦庄线下:737;亦庄线上:963	0	0
20150325	8:25:00	高碑店	50	146		972040:7;971044:27;971045:24;972041:3	972040:50;971044:24;971045:57;972041:77	八通线上:10;八通线下:51	八通线上:280;八通线下:284	八通线上:111;八通线下:102				八通线上:1;八通线下:1		140	190	八通线下:20;八通线上:3	八通线下:34;八通线上:8	0	0
20150325	8:35:00	健德门	320	565		102070:46;101080:93;102065:47;101091:95	102070:221;101080:28;102065:73;101091:58	10号线上:93;10号线下:188	10号线上:243;10号线下:249	10号线上:63;10号线下:71				10号线上:1;10号线下:1		558	745	10号线下:75;10号线上:35	10号线下:124;10号线上:58	0	0
20150325	7:10:00	团结湖	117	128		102033:21;101045:31;102040:23;101031:32;102034:21	102033:57;101045:23;102040:29;101031:46;102034:64	10号线上:65;10号线下:63	10号线上:257;10号线下:260	10号线上:74;10号线下:80				10号线上:1;10号线下:1		197	245	10号线下:29;10号线上:18	10号线下:45;10号线上:31	0	0
20150325	7:10:00	金台夕照	30	76		102034:7;101027:6;102043:5;101041:8	102034:32;101027:21;102043:16;101041:6	10号线上:12;10号线下:14	10号线上:269;10号线下:251	10号线上:99;10号线下:68				10号线上:1;10号线下:1		71	95	10号线下:6;10号线上:6	10号线下:11;10号线上:11	0	0
20150325	7:10:00	双井	290	84		102036:124;101040:16;102045:123;101038:10	102036:18;101040:44;102045:11;101038:6	10号线上:247;10号线下:26	10号线上:261;10号线下:264	10号线上:81;10号线下:84				10号线上:1;10号线下:1		347	414	10号线下:11;10号线上:113	10号线下:22;10号线上:172	0	0
20150325	7:10:00	劲松	502	145		101036:21;102045:206;101040:32;102039:201	101036:27;102045:21;101040:74;102039:33	10号线下:53;10号线上:407	10号线下:259;10号线上:260	10号线下:79;10号线上:81				10号线下:1;10号线上:1		614	728	10号线下:28;10号线上:192	10号线下:47;10号线上:290	0	0
20150325	7:10:00	潘家园	262	61		101022:27;102039:102;101036:18;102048:100	101022:20;102039:15;101036:18;102048:4	10号线下:45;10号线上:202	10号线下:253;10号线上:257	10号线下:75;10号线上:79				10号线下:1;10号线上:1		304	349	10号线下:14;10号线上:94	10号线下:32;10号线上:145	0	0
20150325	7:10:00	十里河	300	87		101033:27;102048:113;101022:30;102041:107;101036:34	101033:13;102048:5;101022:27;102041:30;101036:14	10号线下:91;10号线上:220	10号线下:251;10号线上:262	10号线下:74;10号线上:83				10号线下:1;10号线上:1		354	400	10号线下:27;10号线上:96	10号线下:47;10号线上:149	0	0
20150325	7:10:00	分钟寺	350	17		101035:57;102041:106;101033:64;102050:95	101035:5;102041:6;101033:4;102050:4	10号线下:121;10号线上:201	10号线下:257;10号线上:260	10号线下:79;10号线上:81				10号线下:1;10号线上:1		369	425	10号线下:58;10号线上:87	10号线下:97;10号线上:146	0	0
20150325	7:10:00	成寿寺	230	20		101030:77;102050:35;101035:72;102044:37;101033:72	101030:4;102050:3;101035:2;102044:19;101033:3	10号线下:221;10号线上:72	10号线下:260;10号线上:254	10号线下:80;10号线上:76				10号线下:1;10号线上:1		256	299	10号线下:69;10号线上:33	10号线下:111;10号线上:50	0	0
20150325	7:10:00	石榴庄	206	24		101028:88;102046:98	101028:13;102046:13	10号线下:88;10号线上:98	10号线下:321;10号线上:327	10号线下:141;10号线上:147				10号线下:1;10号线上:1		278	315	10号线下:66;10号线上:70	10号线下:106;10号线上:116	0	0
20150325	7:10:00	大红门	200	101		102046:91;101028:101	102046:62;101028:85	10号线上:91;10号线下:101	10号线上:329;10号线下:321	10号线上:152;10号线下:142				10号线上:1;10号线下:1		324	352	10号线下:67;10号线上:63	10号线下:114;10号线上:107	0	0
20150325	7:10:00	角门东	249	17		101025:113;102049:129	101025:7;102049:22	10号线下:113;10号线上:129	10号线下:326;10号线上:325	10号线下:148;10号线上:148				10号线下:1;10号线上:1		326	387	10号线下:73;10号线上:87	10号线下:131;10号线上:153	0	0
20150325	7:10:00	草桥	160	22		101023:43;102051:101	101023:9;102051:13	10号线下:43;10号线上:101	10号线下:325;10号线上:330	10号线下:144;10号线上:150				10号线下:1;10号线上:1		212	245	10号线下:31;10号线上:71	10号线下:54;10号线上:117	0	0
20150325	7:10:00	纪家庙	53	8		102051:46;101023:7;102053:45	101023:7;102053:1	10号线上:91;10号线下:7	10号线上:325;10号线下:291	10号线上:147;10号线下:114				10号线上:1;10号线下:1		72	92	10号线下:4;10号线上:29	10号线下:11;10号线上:51	0	0
20150325	7:10:00	首经贸	250	32		101062:543;102053:361		10号线下:135;10号线上:98	10号线下:336;10号线上:323	10号线下:155;10号线上:144				10号线下:1;10号线上:1		1758	2398	10号线下:847;10号线上:737	10号线下:1467;10号线上:1268	0	0
20150325	7:15:00	大屯路东	220	124		051033:66;052020:5;051034:75;052021:7	051033:43;052020:36;051034:27;052021:37	5号线下:141;5号线上:12	5号线下:257;5号线上:259	5号线下:77;5号线上:80				5号线下:1;5号线上:1		255	314	5号线下:61;5号线上:4	5号线下:97;5号线上:8	0	0
20150325	7:15:00	惠新西街北口	210	217		051032:85;052021:7;051033:85;052022:5	051032:54;052021:66;051033:68;052022:42	5号线下:170;5号线上:12	5号线下:260;5号线上:251	5号线下:83;5号线上:72				5号线下:1;5号线上:1		316	352	5号线下:71;5号线上:4	5号线下:112;5号线上:8	0	0
