CODE	TIME	STATIONCODE	INNUM	OUTNUM	TRANNUM	GETONPED	GETOFFPED	GETONNUM	GETONTIME	GETONWAITTIME	TRANINNUM	TRANINTIME	TRANINWAITTIME	RESOURCENUM	GETOFFTIME	AVGSTANUM	MAXSTANUM	AVGPLATNUM	MAXPLATNUM	AVGLIMITNUM	MAXLIMITNUM
20150327	6:25:00	梨园	148	25		972002:1;971012:123	972002:25	八通线上:1;八通线下:123	八通线上:4115;八通线下:312	八通线上:3929;八通线下:133				八通线上:1;八通线下:1		129	263	八通线下:58;八通线上:0	八通线下:140;八通线上:1	0	0
20150327	6:25:00	临河里	65	0		971012:58;971013:42	972002:11	八通线下:100	八通线下:295	八通线下:118				八通线下:1		50	113	八通线下:21	八通线下:66	0	0
20150327	6:25:00	土桥	211	0		971013:135;971014:110		八通线下:245	八通线下:273	八通线下:95				八通线下:1		168	313	八通线下:80	八通线下:181	0	0
20150327	6:30:00	苹果园	540	40		012036:458;012037:202		1号线上:660	1号线上:335	1号线上:156				1号线上:1		359	847	1号线上:145	1号线上:537	0	0
20150327	6:30:00	古城	0	24			011016:24;011017:2									9	26			0	0
20150327	6:30:00	八角游乐园	240	11		012034:89;011019:2;012035:123	012034:1;011018:2;011019:15	1号线上:212;1号线下:2	1号线上:263;1号线下:240	1号线上:83;1号线下:55				1号线上:1;1号线下:1		151	318	1号线下:0;1号线上:54	1号线下:3;1号线上:153	0	0
20150327	6:30:00	南礼士路	50	43		012028:12;011027:4;012029:12;011028:5	011026:15;012028:15;011027:9;012029:8;011028:4	1号线上:24;1号线下:9	1号线上:267;1号线下:238	1号线上:88;1号线下:61				1号线上:1;1号线下:1		40	74	1号线下:2;1号线上:5	1号线下:7;1号线上:16	0	0
20150327	6:30:00	复兴门	24	48	1号线下/2号线上:21;1号线上/2号线上:32;2号线上/1号线上:41;2号线下/1号线下:19;1号线下/2号线下:76;2号线下/1号线上:16	012027:1;021010:46;011027:17;022015:70;011028:8;012028:57	012027:57;021010:99;011027:1;022015:61;011028:22;012028:120	2号线下:8;1号线下:3;2号线上:1;1号线上:1	2号线下:343;1号线下:246;2号线上:203;1号线上:282	2号线下:166;1号线下:56;2号线上:49;1号线上:113	1号线上:57;2号线下:38;1号线下:22;2号线上:69	1号线上:768;2号线下:321;1号线下:426;2号线上:390	1号线上:151;2号线下:165;1号线下:25;2号线上:132	1号线上:1;2号线下:1;1号线下:1;2号线上:1		225	380	1号线下:28;1号线上:26;2号线下:23;2号线上:35	1号线下:88;1号线上:57;2号线下:55;2号线上:72	0	0
20150327	6:30:00	西单	37	41	1号线上/4号线(大兴线)下:2;1号线下/4号线(大兴线)下:2;4号线(大兴线)下/1号线下:1;4号线(大兴线)下/1号线上:7;4号线(大兴线)上/1号线上:6;1号线下/4号线(大兴线)上:13;1号线上/4号线(大兴线)上:13;4号线(大兴线)上/1号线下:2	012026:17;04932P026:5;011028:43;011029:2;012027:5;04931Q023:15;04932P028:9;011030:21	012026:29;04932P026:37;011028:6;011029:1;012027:9;04931Q023:3;04932P028:99;011030:8	1号线上:7;4号线(大兴线)下:5;4号线(大兴线)上:1;1号线下:8	1号线上:290;4号线(大兴线)下:374;4号线(大兴线)上:207;1号线下:234	1号线上:106;4号线(大兴线)下:192;4号线(大兴线)上:25;1号线下:56	1号线上:15;4号线(大兴线)上:13;1号线下:58;4号线(大兴线)下:10	1号线上:327;4号线(大兴线)上:337;1号线下:327;4号线(大兴线)下:314	1号线上:54;4号线(大兴线)上:54;1号线下:64;4号线(大兴线)下:93	1号线上:1;4号线(大兴线)上:1;1号线下:1;4号线(大兴线)下:1		74	177	1号线下:9;1号线上:7;4号线(大兴线)下:5;4号线(大兴线)上:2	1号线下:45;1号线上:20;4号线(大兴线)下:16;4号线(大兴线)上:9	0	0
20150327	6:30:00	天安门西	8	42		011031:1;012027:1	011029:2;012026:18;011030:5;012027:8	1号线下:1;1号线上:1	1号线下:210;1号线上:254	1号线下:36;1号线上:64				1号线下:1;1号线上:1		16	32	1号线下:0;1号线上:0	1号线下:2;1号线上:6	0	0
20150327	6:30:00	天安门东	17	52		012025:2;011030:4;011031:4;011032:5	012025:24;011030:25;011031:14;012026:22;011032:33	1号线上:2;1号线下:13	1号线上:340;1号线下:244	1号线上:158;1号线下:63				1号线上:1;1号线下:1		35	81	1号线下:2;1号线上:0	1号线下:6;1号线上:4	0	0
20150327	6:30:00	王府井	14	29			011031:9;012025:7;011032:12									17	38	1号线下:0;1号线上:0	1号线下:4;1号线上:4	0	0
20150327	6:30:00	雍和宫	50	10	5号线下/2号线下:4;5号线上/2号线下:3;5号线上/2号线上:5;2号线下/5号线下:17;2号线上/5号线下:12;2号线上/5号线上:14;2号线下/5号线上:6	022009:38;051014:5;052010:12;021016:42;022010:34	022009:12;051014:30;052010:20;021016:21;022010:26	2号线上:27;5号线下:2;5号线上:1;2号线下:11	2号线上:322;5号线下:296;5号线上:279;2号线下:323	2号线上:136;5号线下:113;5号线上:94;2号线下:149	2号线上:45;5号线下:3;5号线上:11;2号线下:31	2号线上:343;5号线下:302;5号线上:683;2号线下:329	2号线上:102;5号线下:188;5号线上:179;2号线下:162	2号线上:1;5号线下:1;5号线上:1;2号线下:1		94	164	2号线下:22;2号线上:16;5号线下:4;5号线上:5	2号线下:45;2号线上:51;5号线下:10;5号线上:14	0	0
20150327	6:30:00	安定门	70	18		021016:15;022009:12	021016:8;022009:9	2号线下:15;2号线上:12	2号线下:314;2号线上:318	2号线下:132;2号线上:137				2号线下:1;2号线上:1		46	91	2号线下:7;2号线上:8	2号线下:19;2号线上:27	0	0
20150327	6:30:00	大望路	180	30		011037:44;012022:2;011038:54	011037:8;012022:27	1号线下:98;1号线上:2	1号线下:239;1号线上:275	1号线下:60;1号线上:100				1号线下:1;1号线上:1		115	221	1号线下:32;1号线上:0	1号线下:80;1号线上:3	0	0
20150327	6:30:00	四惠	190	65		011038:46;011039:52;012021:5	012021:24	1号线下:98;1号线上:5	1号线下:238;1号线上:263	1号线下:60;1号线上:77				1号线下:1;1号线上:1		130	226	1号线下:30;1号线上:3	1号线下:86;1号线上:10	0	0
20150327	6:05:00	角门东	50	1		102017:31;102019:22	102017:1;102019:5	10号线上:53	10号线上:374	10号线上:191				10号线上:1		71	127	10号线下:39;10号线上:10	10号线下:68;10号线上:35	0	0
20150327	6:05:00	草桥	30	0		102021:22	102021:2	10号线上:22	10号线上:338	10号线上:156				10号线上:1		28	55	10号线下:6;10号线上:9	10号线下:14;10号线上:25	0	0
20150327	6:05:00	纪家庙	10	0		102021:8		10号线上:8	10号线上:294	10号线上:117				10号线上:1		8	16	10号线下:0;10号线上:3	10号线下:1;10号线上:9	0	0
20150327	6:05:00	首经贸	40	0		101031:106;102023:48		10号线下:20;10号线上:23	10号线下:380;10号线上:317	10号线下:204;10号线上:141				10号线下:1;10号线上:1		109	185	10号线下:45;10号线上:47	10号线下:106;10号线上:135	0	0
20150327	6:05:00	丰台站	26	1		102010:6		10号线上:6	10号线上:250	10号线上:73				10号线上:1		25	47	10号线下:9;10号线上:3	10号线下:24;10号线上:10	0	0
20150327	6:05:00	泥洼	22	4		101027:35;102012:8	101027:3	10号线下:35;10号线上:8	10号线下:456;10号线上:291	10号线下:272;10号线上:116				10号线下:1;10号线上:1		26	61	10号线下:12;10号线上:3	10号线下:39;10号线上:9	0	0
20150327	6:05:00	西局	28	0	10号线上/14号线上:16	102012:35;101027:31	101027:19	10号线上:1;10号线下:31	10号线上:213;10号线下:381	10号线上:43;10号线下:202	10号线上:34	10号线上:489	10号线上:136	10号线上:1;10号线下:1		45	77	10号线下:15;10号线上:9	10号线下:35;10号线上:35	0	0
20150327	6:05:00	莲花桥	10	1		101022:46;102015:1		10号线下:46;10号线上:1	10号线下:2128;10号线上:272	10号线下:1950;10号线上:115				10号线下:1;10号线上:1		18	60	10号线下:12;10号线上:0	10号线下:48;10号线上:1	0	0
20150327	6:10:00	陶然亭	30	12		04931Q013:6;04932P020:29	04931Q013:6;04932P020:6	4号线(大兴线)下:6;4号线(大兴线)上:29	4号线(大兴线)下:336;4号线(大兴线)上:340	4号线(大兴线)下:164;4号线(大兴线)上:160				4号线(大兴线)下:1;4号线(大兴线)上:1		30	61	4号线(大兴线)下:2;4号线(大兴线)上:11	4号线(大兴线)下:7;4号线(大兴线)上:33	0	0
20150327	6:10:00	北京南站	30	16		04931Q013:3;04932P022:22	04931Q013:85;04932P022:16	4号线(大兴线)下:3;4号线(大兴线)上:22	4号线(大兴线)下:287;4号线(大兴线)上:310	4号线(大兴线)下:118;4号线(大兴线)上:131				4号线(大兴线)下:1;4号线(大兴线)上:1		55	135	4号线(大兴线)下:1;4号线(大兴线)上:10	4号线(大兴线)下:5;4号线(大兴线)上:25	0	0
20150327	6:10:00	马家堡	30	5		04932P022:29;04932P024:24	04932P022:1;04932P024:1	4号线(大兴线)上:53	4号线(大兴线)上:317	4号线(大兴线)上:141				4号线(大兴线)上:1		25	58	4号线(大兴线)下:2;4号线(大兴线)上:10	4号线(大兴线)下:8;4号线(大兴线)上:32	0	0
