iD	LCODE	CODE	SECCODE	PRVCODE	PRVNAME	NXTCODE	NXTNAME	DIRECT	LENGTH	ISTURN	TURNTIME
388	10	10031001	1001-1003	1003	苏州街	1001	巴沟	2	1000	FALSE	0
389	10	10051003	1003-1005	1005	海淀黄庄	1003	苏州街	2	1000	FALSE	0
390	10	10071005	1005-1007	1007	知春里	1005	海淀黄庄	2	1000	FALSE	0
391	10	10091007	1007-1009	1009	知春路	1007	知春里	2	1000	FALSE	0
392	10	10111009	1009-1011	1011	西土城	1009	知春路	2	1000	FALSE	0
393	10	10131011	1011-1013	1013	牡丹园	1011	西土城	2	1000	FALSE	0
394	10	10151013	1013-1015	1015	健德门	1013	牡丹园	2	1000	FALSE	0
395	10	10171015	1015-1017	1017	北土城	1015	健德门	2	1000	FALSE	0
396	10	10191017	1017-1019	1019	安贞门	1017	北土城	2	1000	FALSE	0
397	10	10211019	1019-1021	1021	惠新西街南口	1019	安贞门	2	1000	FALSE	0
398	10	10231021	1021-1023	1023	芍药居	1021	惠新西街南口	2	1000	FALSE	0
399	10	10251023	1023-1025	1025	太阳宫	1023	芍药居	2	1000	FALSE	0
400	10	10271025	1025-1027	1027	三元桥	1025	太阳宫	2	1000	FALSE	0
401	10	10291027	1027-1029	1029	亮马桥	1027	三元桥	2	1000	FALSE	0
402	10	10311029	1029-1031	1031	农业展览馆	1029	亮马桥	2	1000	FALSE	0
403	10	10331031	1031-1033	1033	团结湖	1031	农业展览馆	2	1000	FALSE	0
404	10	10351033	1033-1035	1035	呼家楼	1033	团结湖	2	1000	FALSE	0
405	10	10371035	1035-1037	1037	金台夕照	1035	呼家楼	2	1000	FALSE	0
406	10	10391037	1037-1039	1039	国贸	1037	金台夕照	2	1000	FALSE	0
407	10	10411039	1039-1041	1041	双井	1039	国贸	2	1000	FALSE	0
408	10	10431041	1041-1043	1043	劲松	1041	双井	2	1000	FALSE	0
409	10	10451043	1043-1045	1045	潘家园	1043	劲松	2	1000	FALSE	0
410	10	10471045	1045-1047	1047	十里河	1045	潘家园	2	1000	FALSE	0
411	10	10491047	1047-1049	1049	分钟寺	1047	十里河	2	1000	FALSE	0
412	10	10511049	1049-1051	1051	成寿寺	1049	分钟寺	2	1000	FALSE	0
413	10	10531051	1051-1053	1053	宋家庄	1051	成寿寺	2	1000	FALSE	0
414	10	10551053	1053-1055	1055	石榴庄	1053	宋家庄	2	1000	FALSE	0
415	10	10571055	1055-1057	1057	大红门	1055	石榴庄	2	1000	FALSE	0
416	10	10591057	1057-1059	1059	角门东	1057	大红门	2	1000	FALSE	0
417	10	10611059	1059-1061	1061	角门西	1059	角门东	2	1000	FALSE	0
418	10	10631061	1061-1063	1063	草桥	1061	角门西	2	1000	FALSE	0
419	10	10651063	1063-1065	1065	纪家庙	1063	草桥	2	1000	FALSE	0
420	10	10671065	1065-1067	1067	首经贸	1065	纪家庙	2	1000	FALSE	0
421	10	10691067	1067-1069	1069	丰台站	1067	首经贸	2	1000	FALSE	0
422	10	10711069	1069-1071	1071	泥洼	1069	丰台站	2	1000	FALSE	0
423	10	10731071	1071-1073	1073	西局	1071	泥洼	2	1000	FALSE	0
424	10	10751073	1073-1075	1075	六里桥	1073	西局	2	1000	FALSE	0
425	10	10791075	1075-1079	1079	莲花桥	1075	六里桥	2	1000	FALSE	0
426	10	10811079	1079-1081	1081	公主坟	1079	莲花桥	2	1000	FALSE	0
427	10	10831081	1081-1083	1083	西钓鱼台	1081	公主坟	2	1000	FALSE	0
428	10	10851083	1083-1085	1085	慈寿寺	1083	西钓鱼台	2	1000	FALSE	0
429	10	10871085	1085-1087	1087	车道沟	1085	慈寿寺	2	1000	FALSE	0
430	10	10891087	1087-1089	1089	长春桥	1087	车道沟	2	1000	FALSE	0
431	10	10911089	1089-1091	1091	火器营	1089	长春桥	2	1000	FALSE	0
432	10	10011091	1091-1001	1001	巴沟	1091	火器营	2	1000	FALSE	0
433	13	13211323	1321-1323	1321	西直门	1323	大钟寺	1	1000	FALSE	0
434	13	13231325	1323-1325	1323	大钟寺	1325	知春路	1	1000	FALSE	0
435	13	13251327	1325-1327	1325	知春路	1327	五道口	1	1000	FALSE	0
436	13	13271329	1327-1329	1327	五道口	1329	上地	1	1000	FALSE	0
437	13	13291331	1329-1331	1329	上地	1331	西二旗	1	1000	FALSE	0
438	13	13311333	1331-1333	1331	西二旗	1333	龙泽	1	1000	FALSE	0
439	13	13331335	1333-1335	1333	龙泽	1335	回龙观	1	1000	FALSE	0
440	13	13351337	1335-1337	1335	回龙观	1337	霍营	1	1000	FALSE	0
441	13	13371339	1337-1339	1337	霍营	1339	立水桥	1	1000	FALSE	0
442	13	13391341	1339-1341	1339	立水桥	1341	北苑	1	1000	FALSE	0
443	13	13411343	1341-1343	1341	北苑	1343	望京西	1	1000	FALSE	0
444	13	13431345	1343-1345	1343	望京西	1345	芍药居	1	1000	FALSE	0
445	13	13451347	1345-1347	1345	芍药居	1347	光熙门	1	1000	FALSE	0
446	13	13471349	1347-1349	1347	光熙门	1349	柳芳	1	1000	FALSE	0
447	13	13491351	1349-1351	1349	柳芳	1351	东直门	1	1000	FALSE	0
448	13	13231321	1321-1323	1323	大钟寺	1321	西直门	2	1000	FALSE	0
449	13	13251323	1323-1325	1325	知春路	1323	大钟寺	2	1000	FALSE	0
450	13	13271325	1325-1327	1327	五道口	1325	知春路	2	1000	FALSE	0
451	13	13291327	1327-1329	1329	上地	1327	五道口	2	1000	FALSE	0
452	13	13311329	1329-1331	1331	西二旗	1329	上地	2	1000	FALSE	0
453	13	13331331	1331-1333	1333	龙泽	1331	西二旗	2	1000	FALSE	0
454	13	13351333	1333-1335	1335	回龙观	1333	龙泽	2	1000	FALSE	0
455	13	13371335	1335-1337	1337	霍营	1335	回龙观	2	1000	FALSE	0
456	13	13391337	1337-1339	1339	立水桥	1337	霍营	2	1000	FALSE	0
457	13	13411339	1339-1341	1341	北苑	1339	立水桥	2	1000	FALSE	0
458	13	13431341	1341-1343	1343	望京西	1341	北苑	2	1000	FALSE	0
459	13	13451343	1343-1345	1345	芍药居	1343	望京西	2	1000	FALSE	0
460	13	13471345	1345-1347	1347	光熙门	1345	芍药居	2	1000	FALSE	0
461	13	13491347	1347-1349	1349	柳芳	1347	光熙门	2	1000	FALSE	0
462	13	13511349	1349-1351	1351	东直门	1349	柳芳	2	1000	FALSE	0
463	14	14231421	1423-1421	1423	园博园	1421	张郭庄	1	1000	FALSE	0
464	14	14251423	1425-1423	1425	大瓦窑	1423	园博园	1	1000	FALSE	0
465	14	14271425	1427-1425	1427	郭庄子	1425	大瓦窑	1	1000	FALSE	0
466	14	14291427	1429-1427	1429	大井	1427	郭庄子	1	1000	FALSE	0
467	14	14311429	1431-1429	1431	七里庄	1429	大井	1	1000	FALSE	0
468	14	14331431	1433-1431	1433	西局	1431	七里庄	1	1000	FALSE	0
469	14	14511449	1451-1449	1451	陶然桥	1449	北京南站	1	1000		
470	14	14531451	1453-1451	1453	永定门外	1451	陶然桥	1	1000		
471	14	14551453	1455-1453	1455	景泰	1453	永定门外	1	1000		
472	14	14571455	1457-1455	1457	蒲黄榆	1455	景泰	1	1000		
473	14	14591457	1459-1457	1459	方庄	1457	蒲黄榆	1	1000		
474	14	14611459	1461-1459	1461	十里河	1459	方庄	1	1000		
475	14	14631461	1463-1461	1463	北工大西门	1461	十里河	1	1000		
476	14	14651463	1465-1463	1465	平乐园	1463	北工大西门	1	1000		
477	14	14671465	1467-1465	1467	九龙山	1465	平乐园	1	1000		
478	14	14691467	1469-1467	1469	大望路	1467	九龙山	1	1000		
479	14	14711469	1471-1469	1471	金台路	1469	大望路	1	1000		
480	14	14731471	1473-1471	1473	朝阳公园	1471	金台路	1	1000		
481	14	14751473	1475-1473	1475	枣营	1473	朝阳公园	1	1000		
482	14	14771475	1477-1475	1477	东风北桥	1475	枣营	1	1000		
483	14	14791477	1479-1477	1479	将台	1477	东风北桥	1	1000		
484	14	14811479	1481-1479	1481	高家园	1479	将台	1	1000		
485	14	14831481	1483-1481	1483	望京南	1481	高家园	1	1000		
486	14	14851483	1485-1483	1485	阜通	1483	望京南	1	1000		
487	14	14871485	1487-1485	1487	望京	1485	阜通	1	1000		
488	14	14891487	1489-1487	1489	东湖渠	1487	望京	1	1000		
489	14	14911489	1491-1489	1491	来广营	1489	东湖渠	1	1000		
490	14	14931491	1493-1491	1493	善各庄	1491	来广营	1	1000		
491	14	14211423	1423-1421	1421	张郭庄	1423	园博园	2	1000	FALSE	0
492	14	14231425	1425-1423	1423	园博园	1425	大瓦窑	2	1000	FALSE	0
493	14	14251427	1427-1425	1425	大瓦窑	1427	郭庄子	2	1000	FALSE	0
494	14	14271429	1429-1427	1427	郭庄子	1429	大井	2	1000	FALSE	0
495	14	14291431	1431-1429	1429	大井	1431	七里庄	2	1000	FALSE	0
496	14	14311433	1433-1431	1431	七里庄	1433	西局	2	1000	FALSE	0
497	14	14491451	1451-1449	1449	北京南站	1451	陶然桥	2	1000		
498	14	14511453	1453-1451	1451	陶然桥	1453	永定门外	2	1000		
499	14	14531455	1455-1453	1453	永定门外	1455	景泰	2	1000		
500	14	14551457	1457-1455	1455	景泰	1457	蒲黄榆	2	1000		
501	14	14571459	1459-1457	1457	蒲黄榆	1459	方庄	2	1000		
502	14	14591461	1461-1459	1459	方庄	1461	十里河	2	1000		
503	14	14611463	1463-1461	1461	十里河	1463	北工大西门	2	1000		
504	14	14631465	1465-1463	1463	北工大西门	1465	平乐园	2	1000		
505	14	14651467	1467-1465	1465	平乐园	1467	九龙山	2	1000		
506	14	14671469	1469-1467	1467	九龙山	1469	大望路	2	1000		
507	14	14691471	1471-1469	1469	大望路	1471	金台路	2	1000		
508	14	14711473	1473-1471	1471	金台路	1473	朝阳公园	2	1000		
509	14	14731475	1475-1473	1473	朝阳公园	1475	枣营	2	1000		
510	14	14751477	1477-1475	1475	枣营	1477	东风北桥	2	1000		
511	14	14771479	1479-1477	1477	东风北桥	1479	将台	2	1000		
512	14	14791481	1481-1479	1479	将台	1481	高家园	2	1000		
513	14	14811483	1483-1481	1481	高家园	1483	望京南	2	1000		
514	14	14831485	1485-1483	1483	望京南	1485	阜通	2	1000		
515	14	14851487	1487-1485	1485	阜通	1487	望京	2	1000		
516	14	14871489	1489-1487	1487	望京	1489	东湖渠	2	1000		
517	14	14891491	1491-1489	1489	东湖渠	1491	来广营	2	1000		
518	14	14911493	1493-1491	1491	来广营	1493	善各庄	2	1000		
519	15	15271525	1527-1525	1527	六道口	1525	清华东路西口	1	1000		
520	15	15291257	1529-1257	1529	北沙滩	1527	六道口	1	1000		
521	15	15311529	1531-1529	1531	奥林匹克公园	1529	北沙滩	1	1000		
522	15	15331531	1533-1531	1533	安立路	1531	奥林匹克公园	1	1000		
523	15	15351533	1535-1533	1535	大屯路东	1533	安立路	1	1000		
524	15	15371535	1537-1535	1537	关庄	1535	大屯路东	1	1000		
525	15	15391537	1539-1537	1539	望京西	1537	关庄	1	1000		
526	15	15411539	1541-1539	1541	望京	1539	望京西	1	1000	FALSE	0
527	15	15431541	1543-1541	1543	望京东	1541	望京	1	1000		
528	15	15451543	1545-1543	1545	崔各庄	1543	望京东	1	1000		
529	15	15471545	1547-1545	1547	马泉营	1545	崔各庄	1	1000	FALSE	0
530	15	15491547	1549-1547	1549	孙河	1547	马泉营	1	1000	FALSE	0
531	15	15511549	1551-1549	1551	国展	1549	孙河	1	1000	FALSE	0
532	15	15531551	1553-1551	1553	花梨坎	1551	国展	1	1000	FALSE	0
533	15	15551553	1555-1553	1555	后沙峪	1553	花梨坎	1	1000	FALSE	0
534	15	15571555	1557-1555	1557	南法信	1555	后沙峪	1	1000	FALSE	0
535	15	15591557	1559-1557	1559	石门	1557	南法信	1	1000	FALSE	0
536	15	15611559	1561-1559	1561	顺义	1559	石门	1	1000	FALSE	0
537	15	15631561	1563-1561	1563	俸伯	1561	顺义	1	1000	FALSE	0
538	15	15251527	1527-1525	1525	清华东路西口	1527	六道口	2	1000		
539	15	15271529	1529-1257	1527	六道口	1529	北沙滩	2	1000		
540	15	15291531	1531-1529	1529	北沙滩	1531	奥林匹克公园	2	1000		
541	15	15311533	1533-1531	1531	奥林匹克公园	1533	安立路	2	1000		
542	15	15331535	1535-1533	1533	安立路	1535	大屯路东	2	1000		
543	15	15351537	1537-1535	1535	大屯路东	1537	关庄	2	1000		
544	15	15371539	1539-1537	1537	关庄	1539	望京西	2	1000		
545	15	15391541	1541-1539	1539	望京西	1541	望京	2	1000	FALSE	0
546	15	15411543	1543-1541	1541	望京	1543	望京东	2	1000		
547	15	15431545	1545-1543	1543	望京东	1545	崔各庄	2	1000		
548	15	15451547	1547-1545	1545	崔各庄	1547	马泉营	2	1000	FALSE	0
549	15	15471549	1549-1547	1547	马泉营	1549	孙河	2	1000	FALSE	0
550	15	15491551	1551-1549	1549	孙河	1551	国展	2	1000	FALSE	0
551	15	15511553	1553-1551	1551	国展	1553	花梨坎	2	1000	FALSE	0
552	15	15531555	1555-1553	1553	花梨坎	1555	后沙峪	2	1000	FALSE	0
553	15	15551557	1557-1555	1555	后沙峪	1557	南法信	2	1000	FALSE	0
554	15	15571559	1559-1557	1557	南法信	1559	石门	2	1000	FALSE	0
555	15	15591561	1561-1559	1559	石门	1561	顺义	2	1000	FALSE	0
556	15	15611563	1563-1561	1561	顺义	1563	俸伯	2	1000	FALSE	0
557	94	94199421	9419-9421	9419	昌平西山口	9421	十三陵景区	1	1000		
558	94	94219423	9421-9423	9421	十三陵景区	9423	昌平	1	1000		
559	94	94239425	9423-9425	9423	昌平	9425	昌平东关	1	1000		
560	94	94259427	9425-9427	9425	昌平东关	9427	北邵洼	1	1000		
561	94	94279429	9427-9429	9427	北邵洼	9429	南邵	1	1000		
562	94	94299431	9429-9431	9429	南邵	9431	沙河高教园	1	1000	FALSE	0
563	94	94319433	9431-9433	9431	沙河高教园	9433	沙河	1	1000	FALSE	0
564	94	94339435	9433-9435	9433	沙河	9435	巩华城	1	1000	FALSE	0
565	94	94359437	9435-9437	9435	巩华城	9437	朱辛庄	1	1000	FALSE	0
566	94	94379439	9437-9439	9437	朱辛庄	9439	生命科学园	1	1000	FALSE	0
567	94	94399441	9439-9441	9439	生命科学园	9441	西二旗	1	1000	FALSE	0
568	94	94219419	9419-9421	9421	十三陵景区	9419	昌平西山口	2	1000		
569	94	94239421	9421-9423	9423	昌平	9421	十三陵景区	2	1000		
570	94	94259423	9423-9425	9425	昌平东关	9423	昌平	2	1000		
571	94	94279425	9425-9427	9427	北邵洼	9425	昌平东关	2	1000		
572	94	94299427	9427-9429	9429	南邵	9427	北邵洼	2	1000		
573	94	94319429	9429-9431	9431	沙河高教园	9429	南邵	2	1000	FALSE	0
574	94	94339431	9431-9433	9433	沙河	9431	沙河高教园	2	1000	FALSE	0
575	94	94359433	9433-9435	9435	巩华城	9433	沙河	2	1000	FALSE	0
576	94	94379435	9435-9437	9437	朱辛庄	9435	巩华城	2	1000	FALSE	0
577	94	94399437	9437-9439	9439	生命科学园	9437	朱辛庄	2	1000	FALSE	0
578	94	94419439	9439-9441	9441	西二旗	9439	生命科学园	2	1000	FALSE	0
579	95	95219523	9521-9523	9521	郭公庄	9523	大葆台	1	1000	FALSE	0
580	95	95239525	9523-9525	9523	大葆台	9525	稻田	1	1000	FALSE	0
581	95	95259527	9525-9527	9525	稻田	9527	长阳	1	1000	FALSE	0
582	95	95279529	9527-9529	9527	长阳	9529	篱笆房	1	1000	FALSE	0
583	95	95299531	9529-9531	9529	篱笆房	9531	广阳城	1	1000	FALSE	0
584	95	95319533	9531-9533	9531	广阳城	9533	良乡大学城北	1	1000	FALSE	0
585	95	95339535	9533-9535	9533	良乡大学城北	9535	良乡大学城	1	1000	FALSE	0
586	95	95359537	9535-9537	9535	良乡大学城	9537	良乡大学城西	1	1000	FALSE	0
587	95	95379539	9537-9539	9537	良乡大学城西	9539	良乡南关	1	1000	FALSE	0
588	95	95399541	9539-9541	9539	良乡南关	9541	苏庄	1	1000	FALSE	0
589	95	95239521	9521-9523	9523	大葆台	9521	郭公庄	2	1000	FALSE	0
590	95	95259523	9523-9525	9525	稻田	9523	大葆台	2	1000	FALSE	0
591	95	95279525	9525-9527	9527	长阳	9525	稻田	2	1000	FALSE	0
592	95	95299527	9527-9529	9529	篱笆房	9527	长阳	2	1000	FALSE	0
593	95	95319529	9529-9531	9531	广阳城	9529	篱笆房	2	1000	FALSE	0
594	95	95339531	9531-9533	9533	良乡大学城北	9531	广阳城	2	1000	FALSE	0
595	95	95359533	9533-9535	9535	良乡大学城	9533	良乡大学城北	2	1000	FALSE	0
596	95	95379535	9535-9537	9537	良乡大学城西	9535	良乡大学城	2	1000	FALSE	0
597	95	95399537	9537-9539	9539	良乡南关	9537	良乡大学城西	2	1000	FALSE	0
598	95	95419539	9539-9541	9541	苏庄	9539	良乡南关	2	1000	FALSE	0
599	96	96219623	9621-9623	9621	宋家庄	9623	肖村	1	1000	FALSE	0
600	96	96239625	9623-9625	9623	肖村	9625	小红门	1	1000	FALSE	0
601	96	96259627	9625-9627	9625	小红门	9627	旧宫	1	1000	FALSE	0
602	96	96279629	9627-9629	9627	旧宫	9629	亦庄桥	1	1000	FALSE	0
603	96	96299631	9629-9631	9629	亦庄桥	9631	亦庄文化园	1	1000	FALSE	0
604	96	96319633	9631-9633	9631	亦庄文化园	9633	万源街	1	1000	FALSE	0
605	96	96339635	9633-9635	9633	万源街	9635	荣京东街	1	1000	FALSE	0
606	96	96359637	9635-9637	9635	荣京东街	9637	荣昌东街	1	1000	FALSE	0
607	96	96379639	9637-9639	9637	荣昌东街	9639	同济南路	1	1000	FALSE	0
608	96	96399641	9639-9641	9639	同济南路	9641	经海路	1	1000	FALSE	0
609	96	96419643	9641-9643	9641	经海路	9643	次渠南	1	1000	FALSE	0
610	96	96439645	9643-9645	9643	次渠南	9645	次渠	1	1000	FALSE	0
611	96	96239621	9621-9623	9623	肖村	9621	宋家庄	2	1000	FALSE	0
612	96	96259623	9623-9625	9625	小红门	9623	肖村	2	1000	FALSE	0
613	96	96279625	9625-9627	9627	旧宫	9625	小红门	2	1000	FALSE	0
614	96	96299627	9627-9629	9629	亦庄桥	9627	旧宫	2	1000	FALSE	0
615	96	96319629	9629-9631	9631	亦庄文化园	9629	亦庄桥	2	1000	FALSE	0
616	96	96339631	9631-9633	9633	万源街	9631	亦庄文化园	2	1000	FALSE	0
617	96	96359633	9633-9635	9635	荣京东街	9633	万源街	2	1000	FALSE	0
618	96	96379635	9635-9637	9637	荣昌东街	9635	荣京东街	2	1000	FALSE	0
619	96	96399637	9637-9639	9639	同济南路	9637	荣昌东街	2	1000	FALSE	0
620	96	96419639	9639-9641	9641	经海路	9639	同济南路	2	1000	FALSE	0
621	96	96439641	9641-9643	9643	次渠南	9641	经海路	2	1000	FALSE	0
622	96	96459643	9643-9645	9645	次渠	9643	次渠南	2	1000	FALSE	0
623	97	97029701	9702-9701	9702	四惠东	9701	四惠	1	1000	FALSE	0
624	97	97039702	9703-9702	9703	高碑店	9702	四惠东	1	1000	FALSE	0
625	97	97049703	9704-9703	9704	传媒大学	9703	高碑店	1	1000	FALSE	0
626	97	97059704	9705-9704	9705	双桥	9704	传媒大学	1	1000	FALSE	0
627	97	97069705	9706-9705	9706	管庄	9705	双桥	1	1000	FALSE	0
628	97	97079706	9707-9706	9707	八里桥	9706	管庄	1	1000	FALSE	0
629	97	97089707	9708-9707	9708	通州北苑	9707	八里桥	1	1000	FALSE	0
630	97	97099708	9709-9708	9709	果园	9708	通州北苑	1	1000	FALSE	0
631	97	97109709	9710-9709	9710	九棵树	9709	果园	1	1000	FALSE	0
632	97	97119710	9711-9710	9711	梨园	9710	九棵树	1	1000	FALSE	0
633	97	97129711	9712-9711	9712	临河里	9711	梨园	1	1000	FALSE	0
634	97	97139712	9713-9712	9713	土桥	9712	临河里	1	1000	FALSE	0
635	97	97019702	9702-9701	9701	四惠	9702	四惠东	2	1000	FALSE	0
636	97	97029703	9703-9702	9702	四惠东	9703	高碑店	2	1000	FALSE	0
637	97	97039704	9704-9703	9703	高碑店	9704	传媒大学	2	1000	FALSE	0
638	97	97049705	9705-9704	9704	传媒大学	9705	双桥	2	1000	FALSE	0
639	97	97059706	9706-9705	9705	双桥	9706	管庄	2	1000	FALSE	0
640	97	97069707	9707-9706	9706	管庄	9707	八里桥	2	1000	FALSE	0
641	97	97079708	9708-9707	9707	八里桥	9708	通州北苑	2	1000	FALSE	0
642	97	97089709	9709-9708	9708	通州北苑	9709	果园	2	1000	FALSE	0
643	97	97099710	9710-9709	9709	果园	9710	九棵树	2	1000	FALSE	0
644	97	97109711	9711-9710	9710	九棵树	9711	梨园	2	1000	FALSE	0
645	97	97119712	9712-9711	9711	梨园	9712	临河里	2	1000	FALSE	0
646	97	97129713	9713-9712	9712	临河里	9713	土桥	2	1000	FALSE	0
